date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2017-09-06,42000000,10255258,7530107,3406082,24829209,46020656,4020656,0.09572989389472708
2017-10-06,43500000,10561859,7465885,3312371,26184210,47524325,4024325,0.09251322882370983
2017-11-06,45000000,10814996,7634608,3412371,27801885,49663859,4663859,0.10364132190483999
2017-12-06,46500000,11075160,7840593,3349469,29263765,51528987,5028987,0.10815025655873578
2018-01-06,48000000,11393895,8408846,3685059,31188403,54676204,6676204,0.13908757930084836
2018-02-06,49500000,11659832,8790900,3738996,30446282,54636009,5136009,0.1037577634003064
2018-03-06,51000000,11923792,8900596,3799071,32804495,57427954,6427954,0.12603830526822946
2018-04-06,52500000,12291613,9155107,3904724,32572625,57924070,5424070,0.10331561645060106
2018-05-06,54000000,12608739,9289161,4075221,33243779,59216900,5216900,0.09660925378165541
2018-06-06,55500000,12925650,9417581,4203940,35485655,62032827,6532827,0.11770858710117804
2018-07-06,57000000,13193607,9496819,4254635,36181704,63126765,6126765,0.10748711267693456
2018-08-06,58500000,13460603,9444138,4227358,38303915,65436015,6936015,0.11856435663566378
2018-09-06,60000000,13735248,9601606,4015691,39708787,67061332,7061332,0.11768886361251463
2018-10-06,61500000,13996103,9967953,4276554,40788978,69029587,7529587,0.12243231561519341
2018-11-06,63000000,14315444,10476914,4439319,39140486,68372163,5372163,0.08527243393397632
2018-12-06,64500000,14583790,10846682,4510046,38866916,68807433,4307433,0.06678191118584587
2019-01-06,66000000,14959094,11563077,5049550,36602563,68174283,2174283,0.03294368209629139
2019-02-06,67500000,15327029,12002535,5212933,40992876,73535374,6035374,0.08941294605568473
2019-03-06,69000000,15645385,11946699,5054178,42934209,75580471,6580471,0.09536913945595527
2019-04-06,70500000,15922673,12177574,5211578,45480256,78792080,8292080,0.11761816126723312
2019-05-06,72000000,16194064,12225808,5178716,46922834,80521421,8521421,0.11835307463921119
2019-06-06,73500000,16475442,13083942,5367949,45895541,80822874,7322874,0.09963094075345191
2019-07-06,75000000,16752403,14115986,5663246,49850742,86382377,11382377,0.15176502933670788
2019-08-06,76500000,16987238,14843674,6260999,48077686,86169597,9669597,0.12639995701306916
2019-09-06,78000000,17256540,15586585,7175572,51280273,91298970,13298970,0.1704996106227752
2019-10-06,79500000,17615054,15736395,6893800,50875161,91120410,11620410,0.14616868484624046
2019-11-06,81000000,17879824,15717334,6999779,54557652,95154589,14154589,0.1747480108684789
2019-12-06,82500000,18148330,15804768,6870867,56298689,97122654,14622654,0.17724428892410682
2020-01-06,84000000,18418878,17135949,7618734,58958090,102131650,18131650,0.2158529750752891
2020-02-06,85500000,18694242,17134509,7440340,62217663,105486753,19986753,0.23376319869287743
2020-03-06,87000000,19123620,18668051,7396704,56181693,101370068,14370068,0.16517319450997459
2020-04-06,88500000,19754565,18444846,6273627,49117873,93590910,5090910,0.05752440955728888
2020-05-06,90000000,20273902,19334151,6610368,55368251,101586672,11586672,0.12874079591891374
2020-06-06,91500000,20697699,19446087,7822111,61104651,109070548,17570548,0.1920278438006784
2020-07-06,93000000,21207806,20438814,7993129,62519207,112158956,19158956,0.2060102813271083
2020-08-06,94500000,21767128,23473453,12202707,66286905,123730193,29230193,0.3093142086091776
2020-09-06,96000000,22269254,22281030,11701895,69426534,125678712,29678712,0.30915324754252294
2020-10-06,97500000,22725773,22181849,10809323,69157595,124874541,27374541,0.28076451996240204
2020-11-06,99000000,23140184,22650924,11204602,71766327,128762037,29762037,0.30062664068740386
2020-12-06,100500000,23595825,21713236,10825773,76361296,132496130,31996130,0.3183694503325285
2021-01-06,102000000,23907322,23164758,12354174,77949717,137375971,35375971,0.34682324623303473
2021-02-06,103500000,24221300,21566784,12081901,82460564,140330550,36830550,0.35585072091560743
2021-03-06,105000000,24530739,20552797,11650830,80799384,137533749,32533749,0.30984523201976777
2021-04-06,106500000,24791481,21347084,11700871,88133368,145972804,39472804,0.3706366553132836
2021-05-06,108000000,25054749,22401728,12593426,91096869,151146771,43146771,0.3995071406504107
2021-06-06,109500000,25309621,23756166,13073633,92275120,154414540,44914540,0.4101784443474312
2021-07-06,111000000,25544857,23288061,12905037,96505057,158243013,47243013,0.4256127275117205
2021-08-06,112500000,25808522,23574090,12282841,98868543,160533995,48033995,0.4269688482470759
2021-09-06,114000000,26018560,24321905,12231483,102410783,164982730,50982730,0.44721692850226513
2021-10-06,115500000,26232469,23690483,11232318,98117987,159273258,43773258,0.37898924408689827
2021-11-06,117000000,26382469,24729997,12152651,107057445,170322563,53322563,0.4557484016888049
2021-12-06,118500000,26550406,24926459,11620265,105383509,168480638,49980638,0.42177753735710644
2022-01-06,120000000,26778759,25624689,11870788,108666298,172940534,52940534,0.44117111382674135
2022-02-06,121500000,26991747,26106272,12006552,105848995,170953566,49453566,0.4070252321632166
2022-03-06,123000000,27219212,28502378,13630615,102378806,171731010,48731010,0.3961870769083258
2022-04-06,124500000,27421849,28751593,13366538,107292318,176832298,52332298,0.42033974357731063
2022-05-06,126000000,27645741,28613595,12476216,98701150,167436702,41436702,0.32886271808333056
2022-06-06,127500000,27815794,28948627,12648856,100040484,169453761,41953761,0.32904910727570424
2022-07-06,129000000,28149666,27799361,10819479,91440976,158209482,29209482,0.2264300946767004
2022-08-06,130500000,28497309,28566466,11755883,100287933,169107592,38607592,0.29584361369004153
2022-09-06,132000000,28822070,27861279,10731312,95501713,162916374,30916374,0.23421495649148638
2022-10-06,133500000,29263782,28373431,12378705,92073214,162089131,28589131,0.21415079109035307
2022-11-06,135000000,29636330,27537629,11924847,90878139,159976946,24976946,0.18501441167110122
2022-12-06,136500000,30149015,29902801,13666463,97660515,171378793,34878793,0.2555222958515062
2023-01-06,138000000,30647310,31362552,14464658,93558710,170033230,32033230,0.23212485431912833
2023-02-06,139500000,31099830,32394537,14104736,101409747,179008849,39508849,0.28321755711766405
2023-03-06,141000000,31542787,32269928,13405441,100049972,177268127,36268127,0.2572207617393747
2023-04-06,142500000,32051826,35325891,15911753,101145124,184434595,41934595,0.29427785694949526
2023-05-06,144000000,32479183,36098256,16533471,101775641,186886551,42886551,0.29782327380582974
2023-06-06,145500000,32982851,34648457,15156547,106656192,189444047,43944047,0.3020209393528128
2023-07-06,147000000,33507476,34264121,14693241,109847042,192311880,45311880,0.3082440803103015
2023-08-06,148500000,34066204,34998269,15380774,112863930,197309177,48809177,0.32868132740662115
2023-09-06,150000000,34555630,35180676,15563741,112410592,197710638,47710638,0.3180709231146124
2023-10-06,151500000,35050950,33512063,13951997,106375095,188890106,37390106,0.2467993766377392
2023-11-06,153000000,35553905,36900862,15622471,109367640,197444877,44444877,0.29048939492103454
2023-12-06,154500000,36032826,37863930,16460847,115271772,205629375,51129375,0.3309344646635224
2024-01-06,156000000,36464682,38425991,15799210,118280603,208970486,52970486,0.3395543983255185
2024-02-06,157500000,36863965,38379351,15490145,125001380,215734842,58234842,0.36974502639124895
2024-03-06,159000000,37253895,40539597,16500569,128854199,223148259,64148259,0.40344817130883515
2024-04-06,160500000,37666779,43739845,18732842,131051951,231191416,70691416,0.44044496189427407
2024-05-06,162000000,38101271,44508312,18819766,129092333,230521682,68521682,0.42297334674790243
2024-06-06,163500000,38580044,45295610,21057940,135126191,240059785,76559785,0.4682555649184428
2024-07-06,165000000,39056489,46164508,21834869,141432756,248488622,83488622,0.5059916468649948
2024-08-06,166500000,39532293,47145171,19337050,134606560,240621074,74121074,0.4451716183556276
2024-09-06,168000000,39946713,49528384,20742193,140690816,250908106,82908106,0.4935006310241743
2024-10-06,169500000,40358399,52549975,23253466,146498359,262660199,93160199,0.5496176902687127
2024-11-06,171000000,40708214,54125628,23274133,151026674,269134650,98134650,0.5738868398247947
2024-12-06,172500000,41071429,52578659,23011867,156936448,273598403,101098403,0.5860776958260401
2025-01-06,174000000,41422479,52718029,21894006,153568069,269602584,95602584,0.5494401361554591
2025-02-06,175500000,41770444,57570813,24058328,157005551,280405137,104905137,0.5977500663903952
2025-03-06,177000000,42159704,58818284,24423394,151383381,276784763,99784763,0.5637557246573897
2025-04-06,178500000,42608959,62445253,23408394,140070656,268533263,90033263,0.5043880266017597
2025-05-06,180000000,43070374,65687614,24270277,146692825,279721090,99721090,0.554006053537798
2025-06-06,181500000,43519375,67861796,25789694,156239483,293410348,111910348,0.6165859395543305
2025-07-06,183000000,43894224,67583605,27507843,164145131,303130803,120130803,0.656452476952198
2025-08-06,184500000,44290847,68479739,28233143,166286539,307290268,122790268,0.6655299053173827
2025-09-06,186000000,44678177,72363507,30718053,171654028,319413766,133413766,0.7172783105820988
2025-10-06,187500000,45052936,78626011,35395527,177287241,336361715,148861715,0.7939291453395121
2025-11-06,189000000,45398173,80967199,36050149,179455572,341871093,152871093,0.8088417602465967
2025-12-06,190500000,45767052,86012464,43804135,181958095,357541747,167041747,0.8768595633567438
2026-01-06,192000000,46173283,90755073,58745916,183162045,378836317,186836317,0.9731058151316945
2026-02-06,193500000,46540500,98151274,54167210,180433067,379292051,185792051,0.9601656394347076
2026-03-06,195000000,46880903,103731087,61490992,182118813,394221796,199221796,1.0216502343539933
2026-04-06,196500000,47194244,94505743,52906565,175178615,369785168,173285168,0.8818583608543593
2026-05-27,196500000,47333139,90812579,55616305,199989452,393751475,197251475,1.0038243008764143
