date,country,central_bank,series,rate_pct,rate_lower_pct,rate_upper_pct,rate_mid_pct,frequency,unit,source,source_url,note
2012-07-12,Korea,Bank of Korea,base_rate,3.0,3.0,3.0,3.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2012-10-11,Korea,Bank of Korea,base_rate,2.75,2.75,2.75,2.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2013-05-09,Korea,Bank of Korea,base_rate,2.5,2.5,2.5,2.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2014-08-14,Korea,Bank of Korea,base_rate,2.25,2.25,2.25,2.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2014-10-15,Korea,Bank of Korea,base_rate,2.0,2.0,2.0,2.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2015-03-12,Korea,Bank of Korea,base_rate,1.75,1.75,1.75,1.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2015-06-11,Korea,Bank of Korea,base_rate,1.5,1.5,1.5,1.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2016-06-09,Korea,Bank of Korea,base_rate,1.25,1.25,1.25,1.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2017-11-30,Korea,Bank of Korea,base_rate,1.5,1.5,1.5,1.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2018-11-30,Korea,Bank of Korea,base_rate,1.75,1.75,1.75,1.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2019-07-18,Korea,Bank of Korea,base_rate,1.5,1.5,1.5,1.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2019-10-16,Korea,Bank of Korea,base_rate,1.25,1.25,1.25,1.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2020-03-17,Korea,Bank of Korea,base_rate,0.75,0.75,0.75,0.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2020-05-28,Korea,Bank of Korea,base_rate,0.5,0.5,0.5,0.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2021-08-26,Korea,Bank of Korea,base_rate,0.75,0.75,0.75,0.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2021-11-25,Korea,Bank of Korea,base_rate,1.0,1.0,1.0,1.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2022-01-14,Korea,Bank of Korea,base_rate,1.25,1.25,1.25,1.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2022-04-14,Korea,Bank of Korea,base_rate,1.5,1.5,1.5,1.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2022-05-26,Korea,Bank of Korea,base_rate,1.75,1.75,1.75,1.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2022-07-13,Korea,Bank of Korea,base_rate,2.25,2.25,2.25,2.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2022-08-25,Korea,Bank of Korea,base_rate,2.5,2.5,2.5,2.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2022-10-12,Korea,Bank of Korea,base_rate,3.0,3.0,3.0,3.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2022-11-24,Korea,Bank of Korea,base_rate,3.25,3.25,3.25,3.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2023-01-13,Korea,Bank of Korea,base_rate,3.5,3.5,3.5,3.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2024-10-11,Korea,Bank of Korea,base_rate,3.25,3.25,3.25,3.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2024-11-28,Korea,Bank of Korea,base_rate,3.0,3.0,3.0,3.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2025-02-25,Korea,Bank of Korea,base_rate,2.75,2.75,2.75,2.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2025-05-29,Korea,Bank of Korea,base_rate,2.5,2.5,2.5,2.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
