date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2015-05-06,58500000,11919065,9748173,4090716,40502659,66260613,7760613,0.13266005309498796
2015-06-06,60000000,12240349,9850792,4116520,43238722,69446383,9446383,0.15743971732766182
2015-07-06,61500000,12556718,10003581,4109362,43708362,70378022,8878022,0.14435808367825786
2015-08-06,63000000,12874722,9533500,3969970,48180419,74558611,11558611,0.1834700222265413
2015-09-06,64500000,13188711,10119107,4147312,45910648,73365779,8865779,0.13745393291493668
2015-10-06,66000000,13606929,10485754,4546945,46917951,75557579,9557579,0.14481179575099734
2015-11-06,67500000,13969664,10490788,4488535,50577523,79526510,12026510,0.1781705123806956
2015-12-06,69000000,14382728,10213377,4276498,51440914,80313517,11313517,0.1639640096014796
2016-01-06,70500000,14803819,10619450,4351920,52083598,81858787,11358787,0.1611175525328563
2016-02-06,72000000,15278224,11636659,4734921,49407899,81057703,9057703,0.12580142809397254
2016-03-06,73500000,15692709,12984333,4969837,52499615,86146494,12646494,0.1720611368375229
2016-04-06,75000000,16109915,12887907,4991159,53059121,87048102,12048102,0.16064136208889557
2016-05-06,76500000,16629966,13647444,5813739,51845002,87936151,11436151,0.14949217558748984
2016-06-06,78000000,17097329,13143097,5541665,56247549,92029640,14029640,0.17986717759286375
2016-07-06,79500000,17578749,15149744,7231016,54219083,94178591,14678591,0.18463636736199418
2016-08-06,81000000,18045309,15284972,7245273,56533879,97109433,16109433,0.19888189242855936
2016-09-06,82500000,18458719,15075548,6990254,57904473,98428994,15928994,0.19307871817066813
2016-10-06,84000000,18924247,14643329,6480169,59837770,99885515,15885515,0.18911327342678064
2016-11-06,85500000,19334545,15225276,6714550,59914871,101189242,15689242,0.183499905516193
2016-12-06,87000000,19694099,13998912,6318899,63241422,103253333,16253333,0.18681991443439983
2017-01-06,88500000,20080548,14392971,6313643,67449281,108236443,19736443,0.22301065582149038
2017-02-06,90000000,20403618,15179305,6893034,67983424,110459382,20459382,0.22732646326689387
2017-03-06,91500000,20771946,15445582,7049934,72728950,115996413,24496413,0.26772036387123754
2017-04-06,93000000,21049900,15877225,7314845,72344840,116586811,23586811,0.253621620523073
2017-05-06,94500000,21322957,15951277,6695900,76512948,120483082,25983082,0.2749532487937423
2017-06-06,96000000,21646284,16754550,7177796,79912953,125491583,29491583,0.30720399106551066
2017-07-06,97500000,21969944,16278721,6683949,79876944,124809559,27309559,0.28009804195794685
2017-08-06,99000000,22293924,16987705,7011116,82323749,128616495,29616495,0.29915651350283556
2017-09-06,100500000,22566026,18125719,7580888,84664154,132936788,32436788,0.3227541057367693
2017-10-06,102000000,22880550,17619356,7249747,86235170,133984824,31984824,0.3135767010358399
2017-11-06,103500000,23137345,17677541,7349747,89473810,137638443,34138443,0.3298400333529832
2017-12-06,105000000,23409094,17825629,7098880,88478250,136811852,31811852,0.30297001792722855
2018-01-06,106500000,23748691,18799178,7642221,91693513,141883603,35383603,0.3322404059272439
2018-02-06,108000000,24031903,19344403,7646694,93429701,144452700,36452700,0.3375250010920401
2018-03-06,109500000,24310679,19285664,7612786,98748845,149957973,40457973,0.36947920984720084
2018-04-06,111000000,24697018,19545439,7673921,93346314,145262692,34262692,0.30867289855522984
2018-05-06,112500000,25031421,19547903,7864204,96159480,148603008,36103008,0.320915627210834
2018-06-06,114000000,25364999,19486833,7973137,104104250,156929219,42929219,0.37657210041434674
2018-07-06,115500000,25650238,19276575,7934796,109199499,162061108,46561108,0.4031264730887132
2018-08-06,117000000,25933278,18860705,7754179,114465551,167013713,50013713,0.4274676331847722
2018-09-06,118500000,26230756,18876056,7240778,117628669,169976259,51476259,0.4343988125068199
2018-10-06,120000000,26501493,19258194,7590677,118777739,172128103,52128103,0.4344008574557221
2018-11-06,121500000,26838111,19961908,7763336,109455805,164019159,42519159,0.34995192983035706
2018-12-06,123000000,27122502,20394838,7774705,106585002,161877047,38877047,0.31607355688734384
2019-01-06,124500000,27519564,21521794,8596156,100025229,157662743,33162743,0.26636741517760143
2019-02-06,126000000,27902557,22124423,8804058,111011346,169842384,43842384,0.34795543061961376
