date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2024-08-06,72000000,27612531,21633967,8895492,27316472,85458461,13458461,0.1869230754519582
2024-09-06,73500000,28192452,22916967,9622887,28051566,88783873,15283873,0.20794384412178468
2024-10-06,75000000,28771273,24503122,10895152,29744697,93914244,18914244,0.25218991464232765
2024-11-06,76500000,29392429,25401308,11011127,32443116,98247980,21747980,0.2842873230540468
2024-12-06,78000000,30024175,24887590,10942426,34571186,100425377,22425377,0.2875048361349528
2025-01-06,79500000,30648047,25140556,10515767,35420701,101725072,22225072,0.27956066005371416
2025-02-06,81000000,31270526,27590188,11659238,36065270,106585222,25585222,0.3158669396211924
2025-03-06,82500000,31837349,28370291,11939233,35014611,107161484,24661484,0.2989270739318406
2025-04-06,84000000,32462307,30300898,11519729,32557865,106840799,22840799,0.27191427125492895
2025-05-06,85500000,33097192,32028647,12020061,33946948,111092848,25592848,0.29933155981393944
2025-06-06,87000000,33723262,33268101,12848276,35225555,115065194,28065194,0.32258844015901555
2025-07-06,88500000,34281265,33310141,13779519,37552843,118923768,30423768,0.3437713863670746
2025-08-06,90000000,34856732,33929316,14217704,39244240,122247992,32247992,0.35831102373213874
2025-09-06,91500000,35475453,36030174,15543523,40990083,128039234,36539234,0.3993358905748474
2025-10-06,93000000,36034813,39324041,18009153,42995980,136363987,43363987,0.46627943173143227
2025-11-06,94500000,36571000,40669915,18440463,45422125,141103503,46603503,0.49315876362425914
2025-12-06,96000000,37126482,43378352,22504497,47147554,150156885,54156885,0.564134217580945
2026-01-06,97500000,37712662,45943660,30253816,47196386,161106523,63606523,0.652374599241758
2026-02-06,99000000,38317559,49860714,27968559,47599106,163745939,64745939,0.6539993876562047
2026-03-06,100500000,38941990,52842053,31846835,48556835,172187712,71687712,0.7133105698114885
2026-04-06,102000000,39544605,48387828,27447287,48013297,163393016,61393016,0.601892314905252
2026-05-27,102000000,39662737,46496893,29037432,54738140,169935202,67935202,0.6660313964322209
