symbol,date,close,currency,fetched_at,source_url
AMD,2021-03-01,86.38999938964844,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-02,84.12999725341797,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-03,80.86000061035156,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-04,77.75,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-05,78.5199966430664,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-08,73.95999908447266,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-09,78.52999877929688,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-10,77.5199966430664,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-11,81.2300033569336,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-12,81.05000305175781,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-15,82.5,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-16,82.75,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-17,82.62999725341797,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-18,78.12000274658203,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-19,79.05999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-22,80.30000305175781,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-23,78.37999725341797,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-24,76.4800033569336,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-25,76.22000122070312,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-26,77.41000366210938,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-29,77.13999938964844,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-30,76.0,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-03-31,78.5,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-01,81.08999633789062,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-05,81.43000030517578,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-06,81.44000244140625,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-07,82.19999694824219,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-08,83.3499984741211,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-09,82.76000213623047,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-12,78.58000183105469,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-13,80.19000244140625,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-14,78.55000305175781,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-15,83.01000213623047,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-16,82.1500015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-19,81.11000061035156,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-20,79.2699966430664,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-21,81.61000061035156,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-22,79.05999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-23,82.76000213623047,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-26,85.41000366210938,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-27,85.20999908447266,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-28,84.0199966430664,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-29,83.91000366210938,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-04-30,81.62000274658203,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-03,78.55000305175781,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-04,78.61000061035156,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-05,77.83000183105469,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
