scenario_slug,scenario_title,variant,variant_title,report_date,asset,label,symbol,scenario_amount_krw,reference_return,final_value_krw,profit_krw,buy_date,buy_price_krw,final_price_krw
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-02-06,cash,KODEX 단기채권,153130.KS,250000,0.18820967,297052,47052,2017-02-06,95311.4609,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-02-06,gold,KODEX 골드선물(H),132030.KS,400000,1.74276688,1097107,697107,2017-02-06,9278.9512,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-02-06,silver,KODEX 은선물(H),144600.KS,200000,1.96208671,592417,392417,2017-02-06,4226.75,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-02-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.9907769,1944005,1294005,2017-02-06,10901.8496,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-03-06,cash,KODEX 단기채권,153130.KS,250000,0.18714337,296786,46786,2017-03-06,95397.0703,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-03-06,gold,KODEX 골드선물(H),132030.KS,400000,1.73982886,1095932,695932,2017-03-06,9288.9014,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-03-06,silver,KODEX 은선물(H),144600.KS,200000,1.93783571,587567,387567,2017-03-06,4261.6406,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-03-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.88955056,1878208,1228208,2017-03-06,11283.7617,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-04-06,cash,KODEX 단기채권,153130.KS,250000,0.1855479,296387,46387,2017-04-06,95525.4531,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-04-06,gold,KODEX 골드선물(H),132030.KS,400000,1.69934591,1079738,679738,2017-04-06,9428.21,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-04-06,silver,KODEX 은선물(H),144600.KS,200000,1.87068518,574137,374137,2017-04-06,4361.3281,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-04-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.92946862,1904155,1254155,2017-04-06,11130.0049,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-05-06,cash,KODEX 단기채권,153130.KS,250000,0.18425084,296063,46063,2017-05-04,95630.0781,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-05-06,gold,KODEX 골드선물(H),132030.KS,400000,1.72959471,1091838,691838,2017-05-04,9323.7285,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-05-06,silver,KODEX 은선물(H),144600.KS,200000,2.18358622,636717,436717,2017-05-04,3932.6719,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-05-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.87313269,1867536,1217536,2017-05-04,11348.2402,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-06-06,cash,KODEX 단기채권,153130.KS,250000,0.18295642,295739,45739,2017-06-05,95734.7188,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-06-06,gold,KODEX 골드선물(H),132030.KS,400000,1.63809193,1055237,655237,2017-06-05,9647.124,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-06-06,silver,KODEX 은선물(H),144600.KS,200000,2.01180999,602362,402362,2017-06-05,4156.9688,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-06-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.81409566,1829162,1179162,2017-06-05,11586.3154,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-07-06,cash,KODEX 단기채권,153130.KS,250000,0.18166512,295416,45416,2017-07-06,95839.3359,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-07-06,gold,KODEX 골드선물(H),132030.KS,400000,1.75755264,1103021,703021,2017-07-06,9229.1982,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-07-06,silver,KODEX 은선물(H),144600.KS,200000,2.28346344,656693,456693,2017-07-06,3813.0469,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-07-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.82255377,1834660,1184660,2017-07-06,11551.5957,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-08-06,cash,KODEX 단기채권,153130.KS,250000,0.18037673,295094,45094,2017-08-04,95943.9453,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-08-06,gold,KODEX 골드선물(H),132030.KS,400000,1.67394691,1069579,669579,2017-08-04,9517.7656,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-08-06,silver,KODEX 은선물(H),144600.KS,200000,2.1755367,635107,435107,2017-08-04,3942.6406,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-08-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.77021795,1800642,1150642,2017-08-04,11769.832,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-09-06,cash,KODEX 단기채권,153130.KS,250000,0.17920778,294802,44802,2017-09-06,96039.0547,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-09-06,gold,KODEX 골드선물(H),132030.KS,400000,1.54111289,1016445,616445,2017-09-06,10015.2969,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-09-06,silver,KODEX 은선물(H),144600.KS,200000,1.97612504,595225,395225,2017-09-06,4206.8125,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-09-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.78547783,1810561,1160561,2017-09-06,11705.3525,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-10-06,cash,KODEX 단기채권,153130.KS,250000,0.17844921,294612,44612,2017-09-29,96100.875,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-10-06,gold,KODEX 골드선물(H),132030.KS,400000,1.65176784,1060707,660707,2017-09-29,9597.3711,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-10-06,silver,KODEX 은선물(H),144600.KS,200000,2.15558986,631118,431118,2017-09-29,3967.5625,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-10-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.7299533,1774470,1124470,2017-09-29,11943.4277,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-11-06,cash,KODEX 단기채권,153130.KS,250000,0.17809925,294525,44525,2017-11-06,96129.4219,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-11-06,gold,KODEX 골드선물(H),132030.KS,400000,1.68095423,1072382,672382,2017-11-06,9492.8887,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-11-06,silver,KODEX 은선물(H),144600.KS,200000,2.15558986,631118,431118,2017-11-06,3967.5625,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-11-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.65712503,1727131,1077131,2017-11-06,12270.7812,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-12-06,cash,KODEX 단기채권,153130.KS,250000,0.1769931,294248,44248,2017-12-06,96219.7656,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-12-06,gold,KODEX 골드선물(H),132030.KS,400000,1.69649984,1078600,678600,2017-12-06,9438.1611,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-12-06,silver,KODEX 은선물(H),144600.KS,200000,2.31378566,662757,462757,2017-12-06,3778.1562,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-12-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.60448798,1692917,1042917,2017-12-06,12518.7754,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-01-06,cash,KODEX 단기채권,153130.KS,250000,0.17500546,293751,43751,2018-01-05,96382.5312,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-01-06,gold,KODEX 골드선물(H),132030.KS,400000,1.59131727,1036527,636527,2018-01-05,9821.2598,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-01-06,silver,KODEX 은선물(H),144600.KS,200000,2.13981191,627962,427962,2018-01-05,3987.5,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-01-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.50809897,1630264,980264,2018-01-05,12999.8857,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-02-06,cash,KODEX 단기채권,153130.KS,250000,0.17336424,293341,43341,2018-02-06,96517.3438,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-02-06,gold,KODEX 골드선물(H),132030.KS,400000,1.55125206,1020501,620501,2018-02-06,9975.4941,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-02-06,silver,KODEX 은선물(H),144600.KS,200000,2.17955637,635911,435911,2018-02-06,3937.6562,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-02-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.64749397,1720871,1070871,2018-02-06,12315.4199,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-03-06,cash,KODEX 단기채권,153130.KS,250000,0.17196112,292990,42990,2018-03-06,96632.8984,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-03-06,gold,KODEX 골드선물(H),132030.KS,400000,1.59263073,1037052,637052,2018-03-06,9816.2842,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-03-06,silver,KODEX 은선물(H),144600.KS,200000,2.25791119,651582,451582,2018-03-06,3842.9531,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2018-03-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,1.52253546,1639648,989648,2018-03-06,12925.4873,32605.0
