scenario_slug,scenario_title,current_regime,variant,variant_title,start,end,valuation_date,cash_amount,gold_amount,silver_amount,equity_amount,cash_symbol,gold_symbol,silver_symbol,equity_symbol,contribution_krw,final_value_krw,profit_krw,simple_return,xirr,reference_dynamic_return,reference_dynamic_xirr,excess_simple_return,excess_xirr,missing_lots
market_stress,Market stress,Defensive Waiting Mode,isa_unhedged_gold_sp500,ISA 금+S&P500 환노출,2022-01-06,2026-04-06,2026-05-27,25,40,20,65,153130.KS,411060.KS,144600.KS,360750.KS,78000000,140854654,62854654,0.8058289,0.27256652,0.77581385,0.26448575,0.03001505,0.00808077,0
market_stress,Market stress,Defensive Waiting Mode,isa_max_unhedged_sp500,ISA 장기 환노출 S&P500,2020-09-06,2026-04-06,2026-05-27,25,40,20,65,153130.KS,132030.KS,144600.KS,360750.KS,102000000,186076476,84076476,0.82427918,0.20793265,0.79537883,0.2023096,0.02890034,0.00562305,0
market_stress,Market stress,Defensive Waiting Mode,isa_max_unhedged_nasdaq100,ISA 장기 환노출 나스닥100,2012-03-06,2026-04-06,2026-05-27,25,40,20,65,153130.KS,132030.KS,144600.KS,133690.KS,255000000,1002241654,747241654,2.93035943,0.17512749,3.19227001,0.18295205,-0.26191058,-0.00782456,0
market_stress,Market stress,Defensive Waiting Mode,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,2026-04-06,2026-05-27,25,40,20,65,153130.KS,132030.KS,144600.KS,219480.KS,196500000,406025022,209525022,1.0662851,0.12550036,1.0038243,0.12034196,0.0624608,0.0051584,0
rate_divergence,Rate divergence,Defensive Waiting Mode,isa_unhedged_gold_nasdaq100,ISA 금+나스닥100 환노출,2022-01-06,2026-04-06,2026-05-27,40,40,20,50,153130.KS,411060.KS,144600.KS,133690.KS,78000000,143624542,65624542,0.84134028,0.28198358,0.88901699,0.29439149,-0.04767671,-0.01240791,0
rate_divergence,Rate divergence,Defensive Waiting Mode,isa_unhedged_gold_sp500,ISA 금+S&P500 환노출,2022-01-06,2026-04-06,2026-05-27,40,40,20,50,153130.KS,411060.KS,144600.KS,360750.KS,78000000,135574900,57574900,0.73813974,0.25417993,0.77581385,0.26448575,-0.0376741,-0.01030582,0
rate_divergence,Rate divergence,Defensive Waiting Mode,isa_max_unhedged_sp500,ISA 장기 환노출 S&P500,2020-09-06,2026-04-06,2026-05-27,40,40,20,50,153130.KS,132030.KS,144600.KS,360750.KS,102000000,177305791,75305791,0.73829207,0.19095192,0.79537883,0.2023096,-0.05708676,-0.01135768,0
rate_divergence,Rate divergence,Defensive Waiting Mode,isa_max_unhedged_nasdaq100,ISA 장기 환노출 나스닥100,2012-03-06,2026-04-06,2026-05-27,40,40,20,50,153130.KS,132030.KS,144600.KS,133690.KS,255000000,868216385,613216385,2.40477014,0.15764579,3.19227001,0.18295205,-0.78749987,-0.02530626,0
rate_divergence,Rate divergence,Defensive Waiting Mode,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,2026-04-06,2026-05-27,40,40,20,50,153130.KS,132030.KS,144600.KS,219480.KS,196500000,386639244,190139244,0.96762974,0.11727438,1.0038243,0.12034196,-0.03619456,-0.00306757,0
stagflation,Stagflation risk,Stagflation Risk,isa_unhedged_gold_nasdaq100,ISA 금+나스닥100 환노출,2022-01-06,2026-04-06,2026-05-27,45,50,15,40,153130.KS,411060.KS,144600.KS,133690.KS,78000000,140281049,62281049,0.79847499,0.2705971,0.88901699,0.29439149,-0.090542,-0.02379439,0
stagflation,Stagflation risk,Stagflation Risk,isa_unhedged_gold_sp500,ISA 금+S&P500 환노출,2022-01-06,2026-04-06,2026-05-27,45,50,15,40,153130.KS,411060.KS,144600.KS,360750.KS,78000000,133837560,55837560,0.71586615,0.24799878,0.77581385,0.26448575,-0.05994769,-0.01648697,0
stagflation,Stagflation risk,Stagflation Risk,isa_max_unhedged_sp500,ISA 장기 환노출 S&P500,2020-09-06,2026-04-06,2026-05-27,45,50,15,40,153130.KS,132030.KS,144600.KS,360750.KS,102000000,171948402,69948402,0.68576865,0.18019252,0.79537883,0.2023096,-0.10961019,-0.02211708,0
stagflation,Stagflation risk,Stagflation Risk,isa_max_unhedged_nasdaq100,ISA 장기 환노출 나스닥100,2012-03-06,2026-04-06,2026-05-27,45,50,15,40,153130.KS,132030.KS,144600.KS,133690.KS,255000000,784407369,529407369,2.07610733,0.14521419,3.19227001,0.18295205,-1.11616268,-0.03773786,0
stagflation,Stagflation risk,Stagflation Risk,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,2026-04-06,2026-05-27,45,50,15,40,153130.KS,132030.KS,144600.KS,219480.KS,196500000,376760879,180260879,0.91735816,0.11291306,1.0038243,0.12034196,-0.08646614,-0.0074289,0
