observation_date,KORCPIALLMINMEI
1970-07-01,4.81918024191915
1970-08-01,4.85313219555058
1970-09-01,4.97096544638905
1970-10-01,5.06882695979727
1970-11-01,5.05950681566315
1970-12-01,5.23592382963036
1971-01-01,5.37306309331807
1971-02-01,5.48091047544141
1971-03-01,5.58409778549770
1971-04-01,5.55946597600040
1971-05-01,5.46093873801116
1971-06-01,5.45161859387705
1971-07-01,5.54948010728527
1971-08-01,5.59874372627988
1971-09-01,5.69194516762105
1971-10-01,5.64734162069349
1971-11-01,5.65732748940862
1971-12-01,5.71125118047029
1972-01-01,5.79979254974439
1972-02-01,5.98552970784571
1972-03-01,6.15262657767880
1972-04-01,6.19190432795829
1972-05-01,6.21653613745560
1972-06-01,6.25048809108702
1972-07-01,6.31905772293088
1972-08-01,6.41691923633910
1972-09-01,6.42224503298716
1972-10-01,6.34834960449524
1972-11-01,6.23118207823778
1972-12-01,6.23584215030484
1973-01-01,6.25514816315408
1973-02-01,6.27511990058433
1973-03-01,6.28510576929945
1973-04-01,6.31905772293088
1973-05-01,6.35367540114331
1973-06-01,6.33902946036112
1973-07-01,6.37298141399255
1973-08-01,6.43689097376935
1973-09-01,6.49081466483102
1973-10-01,6.50080053354614
1973-11-01,6.57869030952412
1973-12-01,6.76509319220644
1974-01-01,7.05468338494506
1974-02-01,7.42682342572870
1974-03-01,7.70642774975219
1974-04-01,7.84889281008797
1974-05-01,7.88817056036746
1974-06-01,7.82892107265772
1974-07-01,8.00067801455787
1974-08-01,8.25099045701699
1974-09-01,8.38812972070470
1974-10-01,8.30957422014572
1974-11-01,8.42208167433613
1974-12-01,8.55456086595678
1975-01-01,8.84947685534346
1975-02-01,9.00925075478546
1975-03-01,9.17901052294258
1975-04-01,9.46860071568119
1975-05-01,9.80812025199543
1975-06-01,9.93793654529205
1975-07-01,10.11834790674530
1975-08-01,10.33803701847800
1975-09-01,10.69752829222250
1975-10-01,10.84731632294940
1975-11-01,10.76742937322840
1975-12-01,10.81735871680400
1976-01-01,10.88725979780990
1976-02-01,11.00709022239140
1976-03-01,11.19682172797880
1976-04-01,11.31665215256030
1976-05-01,11.38655323356610
1976-06-01,11.49639778943250
1976-07-01,11.71608690116520
1976-08-01,11.83591732574670
1976-09-01,11.92579014418290
1976-10-01,11.79597385088620
1976-11-01,11.78598798217110
1976-12-01,11.85588906317700
1977-01-01,11.94576188161310
1977-02-01,12.22536620563660
1977-03-01,12.39512597379370
1977-04-01,12.40511184250880
1977-05-01,12.53492813580550
1977-06-01,12.65475856038700
1977-07-01,12.81519818441000
1977-08-01,12.98495795256710
1977-09-01,13.02490142742760
1977-10-01,12.98495795256710
1977-11-01,13.03488729614270
1977-12-01,13.15471772072420
1978-01-01,13.53418073189890
1978-02-01,13.81378505592240
1978-03-01,13.99353069279470
1978-04-01,13.97355895536440
1978-05-01,14.11336111737620
1978-06-01,14.50280999726600
1978-07-01,14.71251324028360
1978-08-01,14.74247084642900
1978-09-01,15.04204690788280
1978-10-01,15.17186320117940
1978-11-01,15.25175015090040
1978-12-01,15.31166536319110
1979-01-01,15.44148165648770
1979-02-01,15.98138429168550
1979-03-01,16.27097448442410
1979-04-01,16.67040923302910
1979-05-01,17.18967440621560
1979-06-01,17.34944830565760
1979-07-01,17.42933525537860
1979-08-01,17.48925046766930
1979-09-01,17.72891131683230
1979-10-01,17.84874174141380
1979-11-01,18.11836019672220
1979-12-01,18.55840414476870
1980-01-01,19.36259943862670
1980-02-01,20.20207813527820
1980-03-01,20.95368118723650
1980-04-01,21.10812929003050
1980-05-01,21.77119097271480
1980-06-01,22.03681508053710
1980-07-01,22.21389781908530
1980-08-01,22.58936648277400
1980-09-01,23.00943869339020
1980-10-01,23.65053146490120
1980-11-01,23.78301065652190
1980-12-01,24.53461370848020
1981-01-01,24.93205128334220
1981-02-01,25.13110293306370
1981-03-01,25.61774760178080
1981-04-01,25.83876816267550
1981-05-01,26.41328847608570
1981-06-01,27.14225689228980
1981-07-01,27.40788100011210
1981-08-01,27.69547401910770
1981-09-01,28.04897377162310
1981-10-01,27.98240131352230
1981-11-01,27.73941184145420
1981-12-01,27.89385994424820
1982-01-01,28.02700486044980
1982-02-01,28.15948405207050
1982-03-01,28.42444243531180
1982-04-01,28.46904598223940
1982-05-01,28.69006654313410
1982-06-01,28.86648355710130
1982-07-01,28.93305601520220
1982-08-01,29.02159738447620
1982-09-01,29.15407657609690
1982-10-01,29.08750411799610
1982-11-01,28.91108710402890
1982-12-01,29.24261794537100
1983-01-01,29.46363850626580
1983-02-01,29.66202443140620
1983-03-01,29.77253471185360
1983-04-01,29.68465906716050
1983-05-01,29.77253471185360
1983-06-01,29.75056580068040
1983-07-01,29.75056580068040
1983-08-01,29.77253471185360
1983-09-01,29.81713825878120
1983-10-01,29.79516934760790
1983-11-01,29.72859688950710
1983-12-01,29.81713825878120
1984-01-01,29.99355527274840
1984-02-01,30.25917938057070
1984-03-01,30.36968966101810
1984-04-01,30.45823103029220
1984-05-01,30.41362748336460
1984-06-01,30.25917938057070
1984-07-01,30.25917938057070
1984-08-01,30.41362748336460
1984-09-01,30.76779296046100
1984-10-01,30.61267913308610
1984-11-01,30.54677239956630
1984-12-01,30.54677239956630
1985-01-01,30.62665934928730
1985-02-01,30.84435128727700
1985-03-01,30.87564034258440
1985-04-01,30.90692939789180
1985-05-01,31.12528706046250
1985-06-01,31.15591039118890
1985-07-01,31.15591039118890
1985-08-01,31.21848850180370
1985-09-01,31.56133666102300
1985-10-01,31.65453810236410
1985-11-01,31.28106661241850
1985-12-01,31.46746949510080
1986-01-01,31.74840526828630
1986-02-01,31.93480815096860
1986-03-01,31.99738626158340
1986-04-01,31.96609720627600
1986-05-01,32.15316581353930
1986-06-01,32.09058770292460
1986-07-01,32.12187675823200
1986-08-01,32.09058770292460
1986-09-01,32.27765631018790
1986-10-01,31.96609720627600
1986-11-01,31.90418482024220
1986-12-01,31.90418482024220
1987-01-01,32.02867531689080
1987-02-01,32.09058770292460
1987-03-01,32.34023442080270
1987-04-01,32.52730302806600
1987-05-01,33.02526501466020
1987-06-01,32.99464168393380
1987-07-01,32.90077451801170
1987-08-01,33.36811317387950
1987-09-01,33.58647083645020
1987-10-01,33.61775989175760
1987-11-01,33.55518178114280
1987-12-01,33.83545182974730
1988-01-01,34.02252043701070
1988-02-01,34.58306053421970
1988-03-01,35.08168824539490
1988-04-01,35.01977585936110
1988-05-01,35.20617874204340
1988-06-01,35.42453640461420
1988-07-01,35.48711451522900
1988-08-01,35.67351739791130
1988-09-01,35.76738456383350
1988-10-01,35.67351739791130
1988-11-01,35.95445317109680
1988-12-01,36.26601227500870
1989-01-01,36.32792466104240
1989-02-01,36.45241515769100
1989-03-01,36.70206187556910
1989-04-01,36.85784142752510
1989-05-01,37.32518008339290
1989-06-01,37.38709246942670
1989-07-01,37.35646913870030
1989-08-01,37.63673918730480
1989-09-01,37.97958734652410
1989-10-01,38.07278878786520
1989-11-01,38.13536689848000
1989-12-01,38.10407784317260
1990-01-01,38.98549718842760
1990-02-01,39.22901159680270
1990-03-01,39.63486894409450
1990-04-01,40.08183911357940
1990-05-01,40.52775510813640
1990-06-01,40.72910251939020
1990-07-01,40.85138681104180
1990-08-01,41.01478392488650
1990-09-01,41.25829833326160
1990-10-01,41.37952844998510
1990-11-01,41.42064127217830
1990-12-01,41.66204733069730
1991-01-01,42.55493349473920
1991-02-01,43.12313378094770
1991-03-01,43.65127541989110
1991-04-01,43.85367700607290
1991-05-01,43.97490712279640
1991-06-01,44.25848017843670
1991-07-01,44.54310740900490
1991-08-01,44.90785193410350
1991-09-01,45.15242051740660
1991-10-01,45.23359198686500
1991-11-01,45.43493939811880
1991-12-01,45.51611086757720
1992-01-01,45.84185092033860
1992-02-01,46.12542397597890
1992-03-01,46.61245279272900
1992-04-01,46.89602584836920
1992-05-01,47.18065307893750
1992-06-01,47.26287872332390
1992-07-01,47.46422613457770
1992-08-01,47.54539760403610
1992-09-01,47.70774054295280
1992-10-01,47.66662772075960
1992-11-01,47.42311331238450
1992-12-01,47.54539760403610
1993-01-01,47.91014212913470
1993-02-01,48.23482800696810
1993-03-01,48.84308694044180
1993-04-01,49.12771417101000
1993-05-01,49.29005710992670
1993-06-01,49.53357151830180
1993-07-01,49.49351287103660
1993-08-01,49.65585580995330
1993-09-01,49.89831604340040
1993-10-01,50.10071762958230
1993-11-01,50.01954616012390
1993-12-01,50.30311921576410
1994-01-01,50.95354514635900
1994-02-01,51.52069125763950
1994-03-01,51.96660725219640
1994-04-01,52.04777872165480
1994-05-01,52.08889154384800
1994-06-01,52.45363606894660
1994-07-01,52.90060623843150
1994-08-01,53.30646358572330
1994-09-01,53.14306647187860
1994-10-01,52.98177770788990
1994-11-01,53.06294917734820
1994-12-01,53.10406199954140
1995-01-01,53.60163256557190
1995-02-01,53.82090095060220
1995-03-01,54.36801773825010
1995-04-01,54.69692031579570
1995-05-01,54.80655450831090
1995-06-01,54.64315739446610
1995-07-01,54.80655450831090
1995-08-01,55.13545708585640
1995-09-01,55.62881095217470
1995-10-01,55.35577964581480
1995-11-01,55.24509127837160
1995-12-01,55.62881095217470
1996-01-01,56.17592773982260
1996-02-01,56.39730447470900
1996-03-01,56.77996997358410
1996-04-01,57.16368964738730
1996-05-01,57.49259222493280
1996-06-01,57.49259222493280
1996-07-01,57.76667770622080
1996-08-01,58.03970901258070
1996-09-01,58.15039738002390
1996-10-01,58.15039738002390
1996-11-01,58.15039738002390
1996-12-01,58.36861159012620
1997-01-01,58.80820253511500
1997-02-01,59.13605093773250
1997-03-01,59.35531932276290
1997-04-01,59.62940480405080
1997-05-01,59.68422190030840
1997-06-01,59.79385609282360
1997-07-01,59.90349028533880
1997-08-01,60.34097288047150
1997-09-01,60.61716671161550
1997-10-01,60.61716671161550
1997-11-01,60.67092963294510
1997-12-01,62.20580832815760
1998-01-01,63.68586992711260
1998-02-01,64.78221185226440
1998-03-01,64.67257765974919
