report_date,asset,amount_krw,buy_asset_date,buy_fx_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2025-08-06,cash,500000,,,,,,510886,10886,0.02177127985179328
2025-08-06,gold,350000,2025-08-06,2025-08-06,4680083.2,0.07478499527529767,6775818.1962,506730,156730,0.44779866225271503
2025-08-06,silver,150000,2025-08-06,2025-08-06,52292.3126,2.8684904614770423,116094.3571,333016,183016,1.2201037063076843
2025-08-06,equity,500000,2025-08-06,2025-08-06,868803.1179,0.5755043803410311,1129112.5774,649809,149809,0.29961846838218564
2025-09-06,cash,550000,,,,,,560788,10788,0.01961542689244622
2025-09-06,gold,350000,2025-09-05,2025-09-05,5005293.6284,0.06992596758298919,6775818.1962,473806,123806,0.35373041010031003
2025-09-06,silver,150000,2025-09-05,2025-09-05,56898.9925,2.6362505434562755,116094.3571,306054,156054,1.0403587464848072
2025-09-06,equity,450000,2025-09-05,2025-09-05,889067.3604,0.5061483753067775,1129112.5774,571498,121498,0.2699966590862015
2025-10-06,cash,500000,,,,,,508750,8750,0.017500603536217074
2025-10-06,gold,350000,2025-10-06,2025-10-06,5569240.795,0.06284519073303958,6775818.1962,425828,75828,0.21665024832014024
2025-10-06,silver,200000,2025-10-06,2025-10-06,67818.2196,2.9490600204351334,116094.3571,342369,142369,0.7118461354723911
2025-10-06,equity,450000,2025-10-06,2025-10-06,941922.4376,0.4777463430306064,1129112.5774,539429,89429,0.19873201049351708
2025-11-06,cash,500000,,,,,,507654,7654,0.015307926498811186
2025-11-06,gold,350000,2025-11-06,2025-11-06,5767989.3305,0.060679723894627315,6775818.1962,411155,61155,0.17472793515738916
2025-11-06,silver,200000,2025-11-06,2025-11-06,69266.8865,2.887382560620201,116094.3571,335209,135209,0.6760441102513628
2025-11-06,equity,450000,2025-11-06,2025-11-06,965966.7035,0.46585456658312346,1129112.5774,526002,76002,0.16889388970581365
2025-12-06,cash,500000,,,,,,506537,6537,0.013074942211831475
2025-12-06,gold,350000,2025-12-05,2025-12-05,6204885.3632,0.05640716621092397,6775818.1962,382205,32205,0.09201343773591897
2025-12-06,silver,200000,2025-12-05,2025-12-05,86045.6756,2.324346908665691,116094.3571,269844,69844,0.3492178000871857
2025-12-06,equity,450000,2025-12-05,2025-12-05,1004186.9825,0.44812371384981425,1129112.5774,505982,55982,0.12440471452985125
2026-01-06,cash,500000,,,,,,505344,5344,0.010687129291449216
2026-01-06,gold,350000,2026-01-06,2026-01-06,6485429.9286,0.05396712382263981,6775818.1962,365671,15671,0.044775484553021494
2026-01-06,silver,150000,2026-01-06,2026-01-06,116521.2711,1.2873186032089319,116094.3571,149450,-550,-0.0036638292632319436
2026-01-06,equity,500000,2026-01-06,2026-01-06,998274.3107,0.5008643362438073,1129112.5774,565532,65532,0.13106444324665034
2026-02-06,cash,550000,,,,,,554616,4616,0.008392036955211957
2026-02-06,gold,350000,2026-02-06,2026-02-06,7242368.0857,0.048326734551284854,6775818.1962,327453,-22547,-0.06441952189969202
2026-02-06,silver,150000,2026-02-06,2026-02-06,112244.1221,1.3363728731307372,116094.3571,155145,5145,0.034302330264291525
2026-02-06,equity,450000,2026-02-06,2026-02-06,1007452.9922,0.4466709647619832,1129112.5774,504342,54342,0.12075956504790786
2026-03-06,cash,550000,,,,,,553447,3447,0.006267752306636787
2026-03-06,gold,350000,2026-03-06,2026-03-06,7631563.5228,0.04586216165970729,6775818.1962,310754,-39246,-0.1121323728842386
2026-03-06,silver,200000,2026-03-06,2026-03-06,124297.4545,1.6090434098361763,116094.3571,186801,-13199,-0.06599569901973013
2026-03-06,equity,400000,2026-03-06,2026-03-06,994410.3201,0.40224844001797144,1129112.5774,454184,54184,0.13545943215822676
2026-04-06,cash,550000,,,,,,552142,2142,0.003893833205013131
2026-04-06,gold,500000,2026-04-06,2026-04-06,7020358.5456,0.07122143359992097,6775818.1962,482583,-17417,-0.03483302850963488
2026-04-06,silver,150000,2026-04-06,2026-04-06,109540.0952,1.369361599217786,116094.3571,158975,8975,0.05983436323975222
2026-04-06,equity,300000,2026-04-06,2026-04-06,993369.9105,0.30200230230606645,1129112.5774,340995,40995,0.13664865979046148
