date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2023-11-06,66000000,25296155,18298438,7634041,23377952,74606585,8606585,0.13040280638233104
2023-12-06,67500000,25924419,19317978,8169669,25084888,78496954,10996954,0.1629178380101095
2024-01-06,69000000,26556997,19819523,8122964,26366569,80866053,11866053,0.1719717814198678
2024-02-06,70500000,27189768,20261084,8133891,28472183,84056925,13556925,0.19229680748373368
2024-03-06,72000000,27818015,21879866,9063983,29939689,88701553,16701553,0.2319660129705059
2024-04-06,73500000,28452548,24394388,10574674,31319761,94741372,21241372,0.2889982548779968
2024-05-06,75000000,29084811,24863547,10811362,31701134,96460854,21460854,0.28614472493035104
2024-06-06,76500000,29722307,25909154,12603575,33321624,101556661,25056661,0.327538050312997
2024-07-06,78000000,30358595,26733811,12994151,35444585,105531142,27531142,0.3529633594260697
2024-08-06,79500000,30998264,27042662,11397249,33708565,103146740,23646740,0.29744326777933705
2024-09-06,81000000,31589048,27719496,11492452,34327541,105128538,24128538,0.2978831819157719
2024-10-06,82500000,32178619,30050161,13607643,37318444,113154866,30654866,0.37157413139467654
2024-11-06,84000000,32820878,31798801,13925862,40357158,118902699,34902699,0.4155083208712296
2024-12-06,85500000,33461413,32356816,14283017,42566876,122668123,37168123,0.4347148927629767
2025-01-06,87000000,34103808,33608258,14463225,43289411,125464702,38464702,0.4421230104617575
2025-02-06,88500000,34740251,36408870,15563612,44097087,130809820,42309820,0.47807706187445387
2025-03-06,90000000,35317308,37538864,16027627,42111012,130994812,40994812,0.4554979082698294
2025-04-06,91500000,35950936,39395831,14365893,37982973,127695633,36195633,0.3955806923884897
2025-05-06,93000000,36580563,42452482,15584574,40183360,134800979,41800979,0.4494728910960726
2025-06-06,94500000,37212029,41192155,16897404,43006435,138308024,43808024,0.46357696849659447
2025-07-06,96000000,37789423,41796371,17454604,45664414,142704811,46704811,0.48650845287276545
2025-08-06,97500000,38369071,43363097,18337536,47384576,147454279,49954279,0.5123515799631937
2025-09-06,99000000,39000197,46726319,20102977,48939780,154769273,55769273,0.5633259905230534
2025-10-06,100500000,39581257,52340980,24160848,52299256,168382341,67882341,0.6754461813174282
2025-11-06,102000000,40166738,54558864,24876948,54084288,173686838,71686838,0.702812140606202
2025-12-06,103500000,40755272,59041422,31102989,56674234,187573917,84073917,0.812308378857735
2026-01-06,105000000,41351559,62060891,42269023,56840535,202522009,97522009,0.9287810350877255
2026-02-06,106500000,41995675,69654244,40867453,57813158,210330530,103830530,0.974934556425769
2026-03-06,108000000,42634330,73747372,45456004,57464699,219302404,111302404,1.0305778192277004
2026-04-06,109500000,43285148,68341012,40209187,57704576,209539923,100039923,0.9136066011670556
2026-05-27,109500000,43453693,65963419,42617838,65589829,217624779,108124779,0.9874409010142065
