year,month,regime,inflation,liquidity,credit,fx,climate,growth,cash,gold,silver,equity
2017,2017-07,Goldilocks,1.0,4.2,1.0,1.8,2.1,3.3,30,25,10,85
2017,2017-08,Goldilocks,1.0,4.8,1.0,1.3,1.3,3.6,30,20,10,90
2017,2017-09,Goldilocks,1.3,6.4,1.0,1.8,1.8,3.9,25,25,10,90
2017,2017-10,Goldilocks,1.3,4.9,1.0,1.3,1.8,3.6,30,25,10,85
2017,2017-11,Goldilocks,1.3,4.4,1.0,1.3,2.2,2.9,25,25,10,90
2017,2017-12,Goldilocks,1.3,3.8,1.0,1.0,1.3,2.6,25,25,10,90
2018,2018-01,Goldilocks,1.3,3.8,1.0,1.0,3.1,3.3,30,25,15,80
2018,2018-02,Goldilocks,1.3,3.8,1.0,1.3,1.8,2.3,25,25,10,90
2018,2018-03,Goldilocks,2.0,3.8,1.0,1.0,2.1,2.6,25,25,15,85
2018,2018-04,Goldilocks,2.3,4.2,1.7,2.2,2.1,3.2,35,25,15,75
2018,2018-05,Goldilocks,2.6,4.4,1.7,1.7,1.8,2.6,30,25,15,80
2018,2018-06,Goldilocks,2.6,3.8,1.7,2.2,1.8,2.9,30,30,15,75
2018,2018-07,Goldilocks,3.1,3.8,1.0,3.1,3.1,3.5,25,35,15,75
2018,2018-08,Goldilocks,2.2,3.8,1.0,3.1,1.6,2.6,25,30,15,80
2018,2018-09,Goldilocks,2.0,3.8,1.0,3.7,1.6,3.1,25,30,15,80
2018,2018-10,Goldilocks,2.8,3.8,1.0,2.9,3.6,2.9,25,35,15,75
2018,2018-11,Goldilocks,2.0,3.8,1.0,2.3,2.7,3.5,30,30,15,75
2018,2018-12,Goldilocks,2.0,3.2,1.0,2.0,3.4,2.9,25,30,15,80
2019,2019-01,Goldilocks,1.3,3.9,2.2,2.3,1.8,2.9,35,25,15,75
2019,2019-02,Goldilocks,1.3,4.4,1.5,2.3,1.3,3.8,35,25,10,80
2019,2019-03,Goldilocks,1.3,4.4,1.5,2.9,1.3,3.2,30,25,15,80
2019,2019-04,Goldilocks,1.7,3.8,1.0,2.9,1.1,1.9,25,25,15,85
2019,2019-05,Goldilocks,1.0,4.4,1.0,3.5,2.1,3.1,25,25,15,85
2019,2019-06,Goldilocks,1.3,4.4,1.0,3.5,2.1,2.5,25,30,15,80
2019,2019-07,Goldilocks,1.3,5.4,1.0,2.9,2.1,3.1,25,25,15,85
2019,2019-08,Goldilocks,1.3,5.4,1.0,3.5,1.1,2.5,20,25,15,90
2019,2019-09,Goldilocks,1.3,4.9,1.0,2.9,1.6,2.5,25,25,15,85
2019,2019-10,Goldilocks,1.3,4.9,2.2,2.5,1.8,3.4,35,25,10,80
2019,2019-11,Goldilocks,1.7,5.4,1.5,1.7,3.3,2.8,25,25,15,85
2019,2019-12,Goldilocks,1.7,6.0,1.5,2.0,2.4,3.1,25,25,15,85
2020,2020-01,Goldilocks,1.9,6.9,1.5,2.0,2.1,2.8,25,25,15,85
2020,2020-02,Goldilocks,1.7,6.9,1.5,2.5,1.8,2.5,25,25,15,85
2020,2020-03,Liquidity Bubble,1.3,7.4,3.2,2.2,1.8,4.5,40,25,10,75
2020,2020-04,Defensive Waiting Mode,1.0,7.4,5.5,2.7,1.3,7.1,60,20,10,60
2020,2020-05,Liquidity Bubble,1.0,7.4,4.3,2.7,1.8,5.5,50,20,10,70
2020,2020-06,Liquidity Bubble,1.0,7.9,2.7,2.2,1.1,5.5,40,20,10,80
2020,2020-07,Liquidity Bubble,1.0,7.9,4.2,1.3,2.2,6.0,50,20,10,70
2020,2020-08,Defensive Waiting Mode,1.0,5.4,3.5,1.0,2.6,6.3,55,20,10,65
2020,2020-09,Defensive Waiting Mode,1.0,5.9,3.5,1.3,2.6,6.0,50,20,10,70
2020,2020-10,Defensive Waiting Mode,1.0,5.4,2.7,1.3,2.6,5.5,45,25,10,70
2020,2020-11,Liquidity Bubble,1.0,7.9,2.7,1.0,2.6,5.5,40,20,10,80
2020,2020-12,Liquidity Bubble,1.0,7.4,2.7,1.0,3.3,6.8,45,25,10,70
2021,2021-01,Liquidity Bubble,1.3,7.4,1.5,1.0,3.8,4.8,30,25,10,85
2021,2021-02,Liquidity Bubble,1.3,7.9,1.5,1.8,3.8,4.8,30,25,15,80
2021,2021-03,Liquidity Bubble,2.8,7.9,1.5,2.4,2.2,4.8,30,25,15,80
2021,2021-04,Liquidity Bubble,5.3,8.4,1.0,1.8,2.4,4.5,25,35,15,75
2021,2021-05,Liquidity Bubble,5.9,8.4,1.0,1.3,2.1,4.5,25,35,15,75
2021,2021-06,Liquidity Bubble,6.4,7.9,1.0,1.3,2.9,4.5,25,40,15,70
2021,2021-07,Defensive Waiting Mode,6.5,5.9,1.0,1.8,4.4,4.1,25,40,20,65
2021,2021-08,Defensive Waiting Mode,6.2,6.5,1.0,1.8,3.1,4.1,25,40,15,70
2021,2021-09,Liquidity Bubble,6.2,7.9,1.0,2.4,3.1,3.4,20,40,15,75
2021,2021-10,Liquidity Bubble,7.4,7.4,1.0,2.7,4.4,3.4,20,40,20,70
2021,2021-11,Defensive Waiting Mode,7.4,6.4,1.0,2.7,4.3,2.7,15,45,20,70
2021,2021-12,Defensive Waiting Mode,7.4,6.4,1.0,2.2,2.1,2.3,15,40,20,75
2022,2022-01,Defensive Waiting Mode,7.9,5.9,1.0,2.2,3.4,2.6,20,45,20,65
2022,2022-02,Defensive Waiting Mode,8.2,5.4,1.0,2.2,4.7,2.3,20,45,20,65
2022,2022-03,Defensive Waiting Mode,8.9,4.9,1.7,2.2,6.4,2.2,20,50,20,60
2022,2022-04,Defensive Waiting Mode,8.6,3.8,1.0,2.5,6.0,2.2,20,50,20,60
2022,2022-05,Defensive Waiting Mode,8.9,3.4,1.7,3.6,6.9,2.2,20,55,20,55
2022,2022-06,Defensive Waiting Mode,8.9,3.4,1.0,3.0,6.2,2.2,15,55,20,60
2022,2022-07,Defensive Waiting Mode,8.2,2.9,3.7,4.9,6.0,3.2,35,50,20,45
2022,2022-08,Defensive Waiting Mode,8.2,2.9,2.0,3.9,3.3,3.2,30,45,20,55
2022,2022-09,Defensive Waiting Mode,8.2,2.4,2.0,5.9,3.6,3.5,30,50,20,50
2022,2022-10,Inflation Rebound + Dollar/KRW Risk,7.8,2.4,4.3,6.2,4.4,3.6,40,50,15,45
2022,2022-11,Inflation Rebound + Dollar/KRW Risk,8.2,2.4,2.7,6.7,3.6,3.6,35,50,20,45
2022,2022-12,Defensive Waiting Mode,7.2,2.0,2.7,3.1,2.7,4.5,40,40,20,50
2023,2023-01,Defensive Waiting Mode,7.2,2.0,2.7,2.6,2.7,3.9,40,40,20,50
2023,2023-02,Defensive Waiting Mode,7.2,2.0,2.7,2.6,3.1,3.9,35,45,20,50
2023,2023-03,Defensive Waiting Mode,7.2,2.0,2.7,2.9,2.7,4.8,40,40,20,50
2023,2023-04,Defensive Waiting Mode,6.8,4.0,2.7,4.8,3.1,4.2,35,40,20,55
2023,2023-05,Defensive Waiting Mode,6.8,2.5,2.7,5.7,2.7,3.6,35,45,20,50
2023,2023-06,Defensive Waiting Mode,6.0,3.6,3.4,3.8,2.7,4.6,45,40,15,50
2023,2023-07,Defensive Waiting Mode,6.0,2.7,3.9,4.2,2.9,4.7,45,40,20,45
2023,2023-08,Defensive Waiting Mode,5.8,2.8,3.9,4.2,3.6,5.1,45,40,20,45
2023,2023-09,Defensive Waiting Mode,6.1,2.8,3.5,4.8,4.2,4.7,40,45,20,45
2023,2023-10,Defensive Waiting Mode,5.8,2.4,3.4,5.7,3.3,4.3,40,40,20,50
2023,2023-11,Defensive Waiting Mode,5.4,2.8,3.4,3.2,3.9,4.2,40,40,20,50
2023,2023-12,Defensive Waiting Mode,4.7,4.3,2.5,4.0,2.6,4.3,35,35,20,60
2024,2024-01,Defensive Waiting Mode,5.2,3.5,2.1,4.0,3.8,3.5,30,40,20,60
2024,2024-02,Defensive Waiting Mode,5.2,4.3,2.1,4.5,3.1,3.9,30,40,20,60
2024,2024-03,Defensive Waiting Mode,5.2,4.3,2.1,4.5,3.8,3.9,30,40,20,60
2024,2024-04,Defensive Waiting Mode,5.5,4.3,2.1,5.3,4.7,4.5,30,45,20,55
2024,2024-05,Defensive Waiting Mode,4.8,3.4,2.1,5.0,3.4,4.5,35,40,20,55
2024,2024-06,Goldilocks,4.5,3.4,2.1,5.1,3.6,4.5,35,40,20,55
2024,2024-07,Goldilocks,4.5,3.4,1.8,4.8,3.3,4.5,35,40,20,55
2024,2024-08,Goldilocks,3.9,3.4,1.8,4.8,2.4,4.5,35,35,20,60
2024,2024-09,Goldilocks,3.2,3.4,1.8,4.2,1.1,3.2,30,35,15,70
2024,2024-10,Goldilocks,4.2,4.2,1.5,4.0,4.0,4.2,30,35,20,65
2024,2024-11,Goldilocks,4.5,4.6,1.5,5.1,3.4,3.8,25,40,20,65
2024,2024-12,Goldilocks,4.0,4.6,1.5,6.3,3.0,3.2,25,40,20,65
2025,2025-01,Goldilocks,4.5,4.6,1.5,6.8,5.1,4.2,25,45,20,60
2025,2025-02,Defensive Waiting Mode,4.9,4.5,1.5,5.4,4.9,4.1,25,45,20,60
2025,2025-03,Goldilocks,3.6,4.5,1.5,5.2,2.7,4.1,30,35,20,65
2025,2025-04,Goldilocks,3.2,5.1,2.9,5.2,1.8,4.1,35,35,15,65
2025,2025-05,Goldilocks,2.9,4.3,2.1,3.6,1.3,4.1,35,30,15,70
2025,2025-06,Goldilocks,3.6,4.3,2.1,3.9,1.3,4.5,35,35,15,65
2025,2025-07,Goldilocks,3.9,4.9,1.5,3.9,1.1,4.1,30,35,15,70
2025,2025-08,Goldilocks,3.6,6.0,1.5,4.5,1.3,4.2,30,35,15,70
2025,2025-09,Goldilocks,4.1,5.2,1.5,4.5,1.6,4.2,30,35,15,70
2025,2025-10,Goldilocks,4.1,5.2,1.5,5.3,2.2,4.2,30,35,20,65
2025,2025-11,Goldilocks,3.6,4.2,1.8,5.1,2.2,3.8,30,35,20,65
2025,2025-12,Goldilocks,3.6,4.5,1.5,5.5,3.1,4.2,30,35,20,65
2026,2026-01,Goldilocks,3.6,4.5,1.5,4.7,1.1,3.2,30,35,15,70
2026,2026-02,Goldilocks,3.5,5.2,1.5,5.4,1.6,4.2,30,35,15,70
2026,2026-03,Defensive Waiting Mode,5.5,5.4,1.8,5.7,3.6,3.2,25,40,20,65
2026,2026-04,Inflation Rebound + Dollar/KRW Risk,6.0,5.0,1.8,6.5,6.0,3.8,25,50,20,55
